Havells India Ltd
Aar-em Electronics
Bajaj Electronics
Bosch in India
The Kirloskar Electric Company Limited
Bharat Heavy Electricals Ltd.
Wipro Lighting
ABB
Crompton Greaves
Jabil Circuits
Honeywell
3M India
Amara Raja Batteries
Philips Electronics India
Exide Batteries Limited
